Feature,MI_Score,MI_Rank,Chi2_Score,Chi2_PValue,Chi2_Rank,Variance,Low_Variance,Abs_Correlation,Corr_Rank,F_Score,F_PValue,F_Rank,RFE_LR_Selected,RFE_LR_Rank,RFE_GB_Selected,RFE_GB_Rank,SFS_Selected,RF_Importance,RF_Rank,GB_Importance,GB_Rank,LR_L1_Coef,LR_L1_Rank,XGB_Importance,XGB_Rank,Boruta_Selected,Boruta_Tentative,Boruta_Rank,Boruta_Status,Average_Rank,Median_Rank,Consensus,Boruta_Bonus,Combined_Score
safe stool disposal,0.0005295458158010025,23.0,22.736993180238343,1.8575718234224515e-06,11.0,0.8453205080901508,False,0.06594626928134772,10.0,25.63960859789857,4.240645709686184e-07,10.0,True,1,True,1,True,0.025668153015316473,16.0,0.022339153022854167,12.0,0.15917400737241086,5.0,0.03524276,12.0,True,False,1,Confirmed,9.272727272727273,10.0,10,1,4.272727272727273
away privileges,0.0,26.0,14.140670981709453,0.00016963621543703738,15.0,0.4450012229324668,False,0.07914655715146555,7.0,37.00251228263502,1.2541983602472186e-09,7.0,True,1,True,1,False,0.04899163921727646,7.0,0.008432093497630246,23.0,0.08377241876109157,9.0,0.02997057,20.0,True,False,1,Confirmed,10.636363636363637,7.0,9,1,5.636363636363637
left alone,0.0073985522258548375,13.0,38.02855313123028,6.971685360047134e-10,6.0,4.571462521528036,False,0.05262420627448939,16.0,16.300975000515358,5.47242787082008e-05,16.0,True,1,False,4,True,0.056336726557538866,5.0,0.01372027053961959,15.0,0.003420044634104103,21.0,0.02604371,26.0,True,False,1,Confirmed,11.272727272727273,13.0,9,1,6.272727272727273
behaviour explained,0.002778524383679537,19.0,7.738384641083378,0.005405913872531689,20.0,0.5596994962539282,False,0.05941744675654563,13.0,20.797064228542904,5.209867464575045e-06,13.0,True,1,False,3,True,0.03473146267056384,13.0,0.008398241479726141,24.0,0.11527049509679209,8.0,0.038533915,10.0,True,False,1,Confirmed,11.363636363636363,13.0,10,1,6.363636363636363
shook,0.006530898994317358,14.0,5.0276234795148795,0.024946106328501774,23.0,0.42633024072973097,False,0.04773412393816091,17.0,13.405613787962093,0.00025307876593678845,17.0,True,1,True,1,True,0.04338010824111077,9.0,0.01993020224435534,13.0,0.04045099597157386,13.0,0.029416444,21.0,True,False,1,Confirmed,11.818181818181818,13.0,9,1,6.818181818181818
left with child,0.002066310687687034,20.0,20.793932894180426,5.114472999241454e-06,12.0,2.858494992098271,False,0.04487974237695574,18.0,11.8471652459563,0.0005815211214093278,18.0,True,1,True,1,True,0.05035793962797544,6.0,0.026493642867473428,10.0,0.0,25.0,0.026832111,25.0,True,False,1,Confirmed,12.454545454545455,12.0,9,1,7.454545454545455
recent diarrhoea,0.01676294769891995,3.0,5.156797476995081,0.023155556546817696,22.0,0.08891944692087404,False,0.03170405174489361,22.0,5.906148832814545,0.015117891993054149,22.0,False,3,True,1,True,0.024941888687982285,17.0,0.022377555007661924,11.0,0.011400966967482117,19.0,0.03958812,8.0,False,False,3,Rejected,11.909090909090908,11.0,8,0,11.909090909090908
recent cough,0.017734727245587445,2.0,0.39162151289574787,0.5314482949687027,27.0,0.16466233870953043,False,0.009315235925255778,27.0,0.5094053543609844,0.47542476286383284,27.0,False,7,True,1,True,0.03905807150321781,10.0,0.05974019517544528,4.0,0.0,25.0,0.04293927,7.0,False,True,2,Tentative,12.636363636363637,7.0,7,0,12.636363636363637
sudoorpaschim,0.0034177381469364665,18.0,18.04999998527908,2.1517864544499264e-05,14.0,0.10759949263386237,False,0.05919031837065818,14.0,20.63781298999794,5.660012794251666e-06,14.0,False,5,True,1,False,0.020051354118040553,21.0,0.012788019631719355,16.0,0.012682304965842335,18.0,0.032574832,15.0,False,False,5,Rejected,12.818181818181818,14.0,10,0,12.818181818181818
recent fever,0.0114024556867236,10.0,0.0019453051810768224,0.9648202178637549,28.0,0.16376816199355038,False,0.000656389403786737,28.0,0.0025290732695958194,0.9598930893841408,28.0,False,8,True,1,True,0.0389530551901847,11.0,0.050551574644346724,5.0,0.0,25.0,0.050326332,2.0,False,False,4,Rejected,13.636363636363637,10.0,7,0,13.636363636363637
lumbini,0.013814167926206267,7.0,2.9657924723586135,0.08504277813697299,25.0,0.12706822361981512,False,0.024367031971825912,25.0,3.4873963399843873,0.061887569718083645,25.0,False,2,True,1,True,0.025853849457797614,15.0,0.0097625550546024,22.0,0.01615297304325723,17.0,0.031824782,17.0,False,False,9,Rejected,15.0,17.0,7,0,15.0
walking assistance,0.00367918458342098,17.0,8.198380565583232,0.004192779703812719,18.0,0.27222059009856325,False,0.05875745219603738,15.0,20.3360210224855,6.623008705936037e-06,15.0,True,1,False,5,True,0.01650678021364371,23.0,0.005112705606081327,25.0,0.0189867012630175,16.0,0.027508628,24.0,False,False,8,Rejected,15.181818181818182,16.0,8,0,15.181818181818182
